Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Boyd,Site 2,September,31,Showy ticktrefoil,0,0,1,0,0,,
Boyd,Site 2,September,26,St. john's wort,0,0,1,0,0,,
Boyd,Site 2,September,33,Swamp milkweed,0,0,1,0,0,,
Boyd,Site 2,September,27,Swamp smartweed,0,0,1,0,0,,
Boyd,Site 2,September,50,Tall boneset,1060,1060,1061,3.025715384,73,,
Boyd,Site 2,September,2,White clover,0,0,1,0,0,,
Boyd,Site 2,September,44,White heath aster,250,250,251,2.399673721,7,,
Boyd,Site 2,September,10,White sweet clover,0,0,1,0,0,,
Boyd,Site 2,September,40,White vervain,0,0,1,0,0,,
Boyd,Site 2,September,20,Whorled milkweed,0,0,1,0,0,,
Boyd,Site 2,September,41,Wild bergamot,0,0,1,0,0,,
Boyd,Site 2,September,4,Wild parsnip,0,0,1,0,0,,
Boyd,Site 2,September,24,Yarrow,0,0,1,0,0,,
Boyd,Site 2,September,9,Yellow sweet clover,0,0,1,0,0,,
Jesse,Site 3,September,6,Alfalfa,0,0,1,0,0,,
Jesse,Site 3,September,28,Black eyed susan,0,0,1,0,0,,
Jesse,Site 3,September,29,Brown eyed susan,5,5,6,0.77815125,0,,
Jesse,Site 3,September,19,Bull thistle,0,0,1,0,0,,
Jesse,Site 3,September,15,Butterfly milkweed,0,0,1,0,0,,
Jesse,Site 3,September,42,Canada lettuce,0,0,1,0,0,,
Jesse,Site 3,September,16,Canada thistle,0,0,1,0,0,,
Jesse,Site 3,September,8,Carolina horse nettle,0,0,1,0,0,,
Jesse,Site 3,September,43,Chicory,0,0,1,0,0,,
Jesse,Site 3,September,25,Common evening primrose,0,0,1,0,0,,
Jesse,Site 3,September,17,Common milkweed,0,0,1,0,0,,
Jesse,Site 3,September,30,Common selfheal,0,0,1,0,0,,
Jesse,Site 3,September,45,Common sneezeweed,40,40,41,1.612783857,0,,
Jesse,Site 3,September,5,Crown vetch,0,0,1,0,0,,
Jesse,Site 3,September,34,Cup plant,30,30,31,1.491361694,0,,
Jesse,Site 3,September,11,Dandelion,0,0,1,0,0,,
Jesse,Site 3,September,20,Deptford pink,0,0,1,0,0,,
Jesse,Site 3,September,7,Eastern daisy fleabane,0,0,1,0,0,,
Jesse,Site 3,September,13,Foxglove beardtounge,0,0,1,0,0,,
Jesse,Site 3,September,46,Frost aster,970,970,971,2.98721923,127,,
Jesse,Site 3,September,3,Golden alexander,0,0,1,0,0,,
Jesse,Site 3,September,47,Goldenrod,429,429,430,2.633468456,1,,
Jesse,Site 3,September,35,Greyheaded coneflower,0,0,1,0,0,,
Jesse,Site 3,September,12,Hairy ruellia,0,0,1,0,0,,
Jesse,Site 3,September,21,Hoary vervain,0,0,1,0,0,,
Jesse,Site 3,September,36,Ironweed,0,0,1,0,0,,
Jesse,Site 3,September,43,Jersulem artichoke,0,0,1,0,0,,
Jesse,Site 3,September,22,Morning glory,0,0,1,0,0,,
Jesse,Site 3,September,32,Mountain mint,0,0,1,0,0,,
Jesse,Site 3,September,48,New england aster,0,0,1,0,0,,
Jesse,Site 3,September,23,Oxeye sunflower,155,155,156,2.193124598,0,,
Jesse,Site 3,September,14,Pale purple coneflower,1,1,2,0.301029996,1,,
Jesse,Site 3,September,37,Partridge pea,0,0,1,0,0,,
Jesse,Site 3,September,38,Purple prairie clover,0,0,1,0,0,,
Jesse,Site 3,September,18,Queen anne's lace,0,0,1,0,0,,
Jesse,Site 3,September,39,Rattlesnake master,0,0,1,0,0,,
Jesse,Site 3,September,1,Red clover,55,55,56,1.748188027,42,,
Jesse,Site 3,September,49,Sawtooth sunflower,0,0,1,0,0,,
Jesse,Site 3,September,31,Showy ticktrefoil,0,0,1,0,0,,
Jesse,Site 3,September,26,St. john's wort,0,0,1,0,0,,
Jesse,Site 3,September,33,Swamp milkweed,0,0,1,0,0,,
Jesse,Site 3,September,27,Swamp smartweed,0,0,1,0,0,,
Jesse,Site 3,September,50,Tall boneset,0,0,1,0,0,,
Jesse,Site 3,September,2,White clover,0,0,1,0,0,,
Jesse,Site 3,September,44,White heath aster,0,0,1,0,0,,
Jesse,Site 3,September,10,White sweet clover,0,0,1,0,0,,
Jesse,Site 3,September,40,White vervain,0,0,1,0,0,,
Jesse,Site 3,September,20,Whorled milkweed,0,0,1,0,0,,
Jesse,Site 3,September,41,Wild bergamot,0,0,1,0,0,,
Jesse,Site 3,September,4,Wild parsnip,0,0,1,0,0,,
Jesse,Site 3,September,24,Yarrow,0,0,1,0,0,,
Jesse,Site 3,September,9,Yellow sweet clover,0,0,1,0,0,,
Uthe,Site 4,September,6,Alfalfa,0,0,1,0,0,,
Uthe,Site 4,September,28,Black eyed susan,0,0,1,0,0,,
Uthe,Site 4,September,29,Brown eyed susan,0,0,1,0,0,,
Uthe,Site 4,September,19,Bull thistle,5,5,6,0.77815125,0,,
Uthe,Site 4,September,15,Butterfly milkweed,0,0,1,0,0,,
Uthe,Site 4,September,42,Canada lettuce,0,0,1,0,0,,
Uthe,Site 4,September,16,Canada thistle,0,0,1,0,0,,
Uthe,Site 4,September,8,Carolina horse nettle,0,0,1,0,0,,
Uthe,Site 4,September,43,Chicory,0,0,1,0,0,,
