Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Boyd,Site 2,JulyAugust,22,Morning glory,17,8.5,9.5,0.977723605,0,,
Boyd,Site 2,JulyAugust,32,Mountain mint,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,48,New england aster,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,23,Oxeye sunflower,2985,1492.5,1493.5,3.174205227,11,,
Boyd,Site 2,JulyAugust,14,Pale purple coneflower,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,37,Partridge pea,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,38,Purple prairie clover,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,18,Queen anne's lace,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,39,Rattlesnake master,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,1,Red clover,30,15,16,1.204119983,0,,
Boyd,Site 2,JulyAugust,49,Sawtooth sunflower,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,31,Showy ticktrefoil,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,26,St. john's wort,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,33,Swamp milkweed,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,27,Swamp smartweed,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,50,Tall boneset,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,2,White clover,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,44,White heath aster,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,10,White sweet clover,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,40,White vervain,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,20,Whorled milkweed,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,41,Wild bergamot,4585,2292.5,2293.5,3.360498744,9,,
Boyd,Site 2,JulyAugust,4,Wild parsnip,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,24,Yarrow,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,9,Yellow sweet clover,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,6,Alfalfa,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,28,Black eyed susan,30,15,16,1.204119983,0,,
Jesse,Site 3,JulyAugust,29,Brown eyed susan,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,19,Bull thistle,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,26,13,14,1.146128036,72,,
Jesse,Site 3,JulyAugust,42,Canada lettuce,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,16,Canada thistle,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,8,Carolina horse nettle,5,2.5,3.5,0.544068044,0,,
Jesse,Site 3,JulyAugust,43,Chicory,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,25,Common evening primrose,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,17,Common milkweed,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,30,Common selfheal,16,8,9,0.954242509,0,,
Jesse,Site 3,JulyAugust,45,Common sneezeweed,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,5,Crown vetch,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,34,Cup plant,1,1,2,0.301029996,2,,
Jesse,Site 3,JulyAugust,11,Dandelion,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,20,Deptford pink,6,3,4,0.602059991,0,,
Jesse,Site 3,JulyAugust,7,Eastern daisy fleabane,175,87.5,88.5,1.946943271,1,,
Jesse,Site 3,JulyAugust,13,Foxglove beardtounge,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,46,Frost aster,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,3,Golden alexander,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,47,Goldenrod,1,1,2,0.301029996,1,,
