Site,Site2,Month,Date,Color,Blooms,Count,colorabun,colorabun1,logcolorabun1
GM,Site 5,July,7/2/2019,Pink,40.21428571,5,0.124333925,1.124333925,0.050895315
GM,Site 5,July,7/2/2019,Purple,298.1428571,1,0.003354097,1.003354097,0.001454228
GM,Site 5,July,7/2/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/2/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,7/17/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/17/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,7/17/2019,Purple,298.1428571,1,0.003354097,1.003354097,0.001454228
GM,Site 5,July,7/17/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/17/2019,Yellow,225.1428571,4,0.017766497,1.017766497,0.007648151
GM,Site 5,July,7/18/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/18/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,7/18/2019,Purple,298.1428571,2,0.006708194,1.006708194,0.002903603
GM,Site 5,July,7/18/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/18/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,7/20/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/20/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,7/20/2019,Purple,298.1428571,7,0.023478678,1.023478678,0.010078799
GM,Site 5,July,7/20/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/20/2019,Yellow,225.1428571,4,0.017766497,1.017766497,0.007648151
GM,Site 5,July,7/24/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/24/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,7/24/2019,Purple,298.1428571,4,0.013416387,1.013416387,0.005787923
GM,Site 5,July,7/24/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/24/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,7/25/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/25/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,7/25/2019,Purple,298.1428571,10,0.033540968,1.033540968,0.014327696
GM,Site 5,July,7/25/2019,White,29.92857143,0,0,1,0
